MatchId;HomeTeam;HomeTeamId;VisitTeam;VisitTeamId;MapName;ScheduleDate;StatsId;Map;Rounds;Duration;DamageRED;FragsRED;DamageBLU;FragsBLU;ScoreRED;ScoreBLU;ScoresBLU;RoundTimes
39649;Bubberducky;7073;The House Hippos;9389;koth_coalplant_b7;2014-02-17 00:00:00;157176;koth_coalplant_b7;3;1135;21324;65;21824;69;2;1;0|1|0;347|335|453
39649;Bubberducky;7073;The House Hippos;9389;koth_coalplant_b7;2014-02-17 00:00:00;157062;koth_coalplant_b7;5;1594;45743;122;55394;186;2;3;1|0|0|1|1;315|420|377|249|233
39650;4L;3783;Drunken Bombers;7815;koth_coalplant_b7;2014-02-17 00:00:00;157198;koth_coalplant_b7;2;760;23911;86;27013;108;1;1;0|1;476|284
39650;4L;3783;Drunken Bombers;7815;koth_coalplant_b7;2014-02-17 00:00:00;157114;koth_coalplant_b7;3;1216;39968;151;38952;129;3;0;0|0|0;411|399|406
39651;Tilt;5289;The Noble Gases;9468;koth_coalplant_b7;2014-02-17 00:00:00;157163;koth_coalplant_b7;1;260;11341;46;5657;14;1;0;0;260
39651;Tilt;5289;The Noble Gases;9468;koth_coalplant_b7;2014-02-17 00:00:00;157060;koth_coalplant_b7;3;936;20591;42;30304;116;0;3;1|1|1;223|299|414
39654;Mega Mayonnaise;7243;Delirium;7720;koth_coalplant_b7;2014-02-17 00:00:00;157168;koth_coalplant_b7;1;299;7760;28;10995;45;0;1;1;299
39654;Mega Mayonnaise;7243;Delirium;7720;koth_coalplant_b7;2014-02-17 00:00:00;157088;koth_coalplant_b7;3;1338;39350;148;33296;119;3;0;0|0|0;401|304|633
39663;Mighty Morphing Flower Arrangers;8846;The Average Men;3455;koth_coalplant_b7;2014-02-17 00:00:00;157052;koth_coalplant_b7;1;315;8612;26;11441;46;0;1;1;315
39663;Mighty Morphing Flower Arrangers;8846;The Average Men;3455;koth_coalplant_b7;2014-02-17 00:00:00;157013;koth_coalplant_b7;3;955;36252;155;26654;71;3;0;0|0|0;292|335|328
39664;Atrocious Ending;8910;FITE IRL FGT;9231;koth_coalplant_b7;2014-02-17 00:00:00;157036;koth_coalplant_b7;3;988;33937;126;33048;114;2;1;0|0|1;320|353|315
39664;Atrocious Ending;8910;FITE IRL FGT;9231;koth_coalplant_b7;2014-02-17 00:00:00;156998;koth_coalplant_b7;3;1058;34052;113;33036;126;0;3;1|1|1;362|395|301
