ID;Map;Rounds;Duration;Damage|RED;Frags|RED;Damage|BLU;Frags|BLU;Score|RED;Score|BLU;ScoresBLU;RoundTimes
152854;cp_gullywash_final1;6;1298;27238;103;24633;69;5;1;0|0|0|0|1|0;218|97|120|143|572|148
152852;cp_snakewater_final1;6;1173;22770;87;19312;76;4;2;0|1|1|0|0|0;172|214|157|383|160|87
152851;koth_coalplant_b7;4;1442;52313;179;48636;161;3;1;0|1|0|0;323|383|330|406
152850;cp_process_final;5;1778;33722;111;37224;130;2;2;0|1|0|1|0;207|143|361|446|621
152849;koth_arctic_b3;4;1355;41381;144;48786;183;1;3;1|1|0|1;237|332|444|342
152846;cp_snakewater_final1;8;1469;28176;104;30770;108;3;5;0|1|1|0|1|1|0|1;405|83|127|257|250|143|108|96
152843;cp_process_final;3;792;13194;43;17295;65;0;3;1|1|1;389|319|84
152842;cp_snakewater_final1;5;1779;31123;101;32003;112;1;3;1|0|1|1|0;495|509|159|274|342
152840;cp_snakewater_final1;4;1105;19396;46;24655;73;0;4;1|1|1|1;140|308|565|92
152838;koth_coalplant_b7;5;1906;44943;152;44917;169;2;3;1|0|0|1|1;381|387|328|457|353
152837;cp_degrootkeep;2;372;15995;69;12202;49;0;2;1|1;212|160
152836;cp_degrootkeep;2;164;5705;26;5051;23;0;2;1|1;82|82
152834;pl_upward;2;1249;43229;151;42450;149;0;7;4|3;625|624
152833;cp_degrootkeep;2;404;13719;58;15232;86;1;1;1|0;76|328
152832;cp_gullywash_final1;5;1262;30042;104;21428;64;5;0;0|0|0|0|0;229|214|632|66|121
152831;cp_degrootkeep;2;128;4362;20;3195;17;0;2;1|1;70|58
152830;cp_degrootkeep;2;174;4345;21;5801;30;0;2;1|1;63|111
152829;cp_badlands;5;505;6755;16;10723;46;0;5;1|1|1|1|1;63|58|98|130|156
152828;koth_ashville_rc1;3;877;25082;88;31566;121;0;3;1|1|1;271|265|341
152827;cp_coldfront;4;602;5754;25;6132;12;4;0;0|0|0|0;222|101|169|110
152826;cp_snakewater_final1;6;1388;27828;107;24922;77;5;1;0|0|0|1|0|0;345|214|259|74|133|363
152825;cp_process_final;5;1364;30577;120;21999;80;5;0;0|0|0|0|0;183|468|159|453|101
152824;cp_granary;7;1436;28950;92;30267;102;3;4;1|1|0|0|1|0|1;165|244|88|414|117|327|81
152823;cp_snakewater_final1;6;1774;35948;104;33856;107;2;3;1|0|1|0|1|0;660|92|180|660|158|24
152820;cp_badlands;8;1920;40421;133;37152;123;5;3;1|1|0|0|1|0|0|0;391|103|106|83|327|79|604|227
152819;pl_badwater;2;1020;28930;103;36236;127;0;7;4|3;510|510
152818;cp_coldfront;4;536;10107;52;9921;23;4;0;0|0|0|0;100|116|144|176
152816;cp_process_final;5;1779;32653;93;34156;126;0;4;1|1|1|1|0;257|118|452|706|246
152815;cp_granary;8;1764;32644;106;34352;106;3;4;1|0|1|0|0|1|1|0;253|166|134|327|152|443|204|85
152814;koth_pro_viaduct_rc4;3;1121;23193;81;27815;122;0;3;1|1|1;307|435|379
152813;cp_granary;9;2307;21517;91;14278;48;5;2;0|0|0|0|1|0|1|0|0;186|118|132|185|112|292|82|600|600
152812;koth_coalplant_b6;4;1534;56879;199;51601;192;3;1;0|1|0|0;266|422|443|403
152811;cp_gullywash_final1;2;640;7304;25;4686;9;1;1;0|1;284|356
152810;cp_process_final;5;1747;26960;95;33506;139;0;5;1|1|1|1|1;261|343|190|168|785
152807;koth_coalplant_b7;4;1375;43668;145;48482;175;1;3;0|1|1|1;365|349|253|408
152806;cp_process_final;3;1789;38528;113;37944;118;1;1;1|0|0;273|953|563
152804;koth_lakeside_final;4;1458;54755;199;44941;160;3;1;0|1|0|0;309|386|475|288
152802;cp_badlands;6;1145;21339;66;25405;90;1;5;0|1|1|1|1|1;92|79|255|226|147|346
152798;cp_gullywash_final1;5;742;13568;36;17645;63;0;5;1|1|1|1|1;122|103|63|108|346
152796;pl_upward;2;1292;37471;125;42750;159;0;8;4|4;651|641
152795;cp_process_final;3;429;7269;34;5737;13;3;0;0|0|0;124|151|154
152793;cp_badlands;5;754;12280;40;14268;60;0;5;1|1|1|1|1;209|88|201|151|105
152792;cp_snakewater_final1;7;977;17800;44;21805;73;2;5;0|1|0|1|1|1|1;202|135|197|100|158|107|78
152791;cp_process_final;7;1767;36685;110;36962;97;4;2;0|1|0|0|0|1|0;377|85|439|247|287|146|186
152790;cp_process_final;8;2364;50491;151;49880;149;4;3;1|0|1|0|0|0|1|0;112|434|127|79|518|152|252|690
152788;cp_metalworks_rc5;1;353;6081;18;6190;23;0;1;1;353
152787;cp_process_final;3;424;10394;43;7856;18;3;0;0|0|0;133|74|217
152784;cp_badlands;9;1185;24212;89;23578;83;5;4;0|0|0|1|0|1|1|1|0;128|170|67|67|65|320|74|123|171
152783;cp_gullywash_final1;3;1789;23387;70;25796;81;1;1;0|1|0;478|719|592
152782;cp_snakewater_final1;5;1691;33988;123;28265;89;5;0;0|0|0|0|0;258|653|346|84|350
152780;pl_upward;2;539;16472;83;8749;20;0;1;0|1;413|126
152778;cp_badlands;6;1775;31925;147;30434;106;4;1;1|0|0|0|0|0;423|310|270|301|230|241
152777;cp_gullywash_final1;1;198;3859;13;3173;7;1;0;0;198
152776;pl_upward;2;895;27417;99;25908;88;0;8;4|4;452|443
152775;cp_badlands;5;933;15971;46;17621;64;0;5;1|1|1|1|1;78|410|73|175|197
152774;cp_process_final;5;1727;30296;85;29800;95;2;3;1|1|0|1|0;337|254|775|269|92
152773;pl_upward;2;1501;36135;125;25906;92;0;8;4|4;797|704
152772;cp_process_final;3;658;14120;36;15114;52;1;2;0|1|1;99|342|217
152771;pl_upward;2;1384;44777;168;36278;114;0;8;4|4;844|540
152769;pl_upward;2;664;20346;72;19593;74;0;7;4|3;332|332
152768;cp_metalworks_rc5;2;398;5782;22;7589;30;0;2;1|1;326|72
152766;pl_upward;2;1253;43643;138;40113;140;0;7;4|3;627|626
152765;cp_granary;6;2082;39896;139;42556;158;1;5;1|1|1|0|1|1;350|411|86|380|778|77
152764;koth_pro_viaduct_rc4;3;1040;45535;151;33922;110;3;0;0|0|0;378|323|339
152763;pl_upward;2;1129;31321;108;35076;128;0;6;4|2;565|564
152762;cp_gullywash_final1;9;1759;41918;124;43171;141;4;4;0|1|1|1|1|0|0|0|0;73|82|148|75|88|105|544|299|345
152761;cp_granary;6;890;18311;74;14836;44;5;1;0|1|0|0|0|0;91|255|119|143|116|166
152760;cp_badlands;3;251;6031;25;3416;8;3;0;0|0|0;80|74|97
152759;cp_process_final;1;195;3635;10;4405;15;0;1;1;195
152758;cp_gullywash_final1;5;1096;24682;79;21948;56;5;0;0|0|0|0|0;186|99|127|503|181
152757;pl_upward;2;670;14347;29;24077;116;0;4;4|0;335|335
152756;pl_swiftwater_ugc;2;1863;56369;201;56288;209;0;8;4|4;1065|798
152755;cp_badlands;5;557;12955;46;10406;20;5;0;0|0|0|0|0;239|78|98|76|66
152753;pl_upward;2;873;27996;107;26418;90;0;8;4|4;515|358
152752;cp_gullywash_final1;6;1325;24757;69;27648;95;1;5;0|1|1|1|1|1;176|113|658|208|71|99
152751;pl_upward;2;825;27368;90;22828;67;0;8;4|4;471|354
152750;pl_upward;2;1554;49771;189;45092;152;0;8;4|4;794|760
152749;pl_upward;2;1089;36764;142;33691;123;0;8;4|4;693|396
152747;pl_upward;2;849;26360;86;26202;93;0;6;4|2;425|424
152746;pl_upward;2;1554;41207;140;41760;111;0;8;4|4;845|709
152745;pl_upward;2;722;20229;80;13519;47;0;2;1|1;585|137
152744;pl_upward;2;893;25533;94;30389;102;0;7;4|3;447|446
152743;pl_upward;2;1183;37103;113;34954;118;0;8;4|4;624|559
152742;pl_upward;2;712;23266;101;14979;41;0;2;1|1;585|127
152741;pl_upward;2;818;21234;70;28462;129;0;6;4|2;409|409
152740;pl_upward;2;1695;52035;191;41956;99;0;6;3|3;1388|307
152739;pl_upward;2;718;21898;65;24132;82;0;6;4|2;359|359
152738;pl_upward;2;1120;28597;94;26897;85;0;8;4|4;497|623
152737;pl_upward;2;1445;46811;173;46130;146;0;8;4|4;961|484
